# Normalized warning identities: source path | warning code | message
# Generated on 2026-08-01 from commit 5caf809a4276a1a27d05a98451ec5df3d71a6842 (dirty tree).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8604|Possible null reference argument for parameter 'control' in 'void WinFormsInteractionObserver.Hook(Control control)'.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8604|Possible null reference argument for parameter 'control' in 'void WinFormsInteractionObserver.UnhookTree(Control control)'.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8618|Non-nullable event 'InteractionDetected' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnControlAdded(object sender, ControlEventArgs e)' doesn't match the target delegate 'ControlEventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnControlRemoved(object sender, ControlEventArgs e)' doesn't match the target delegate 'ControlEventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnInteraction(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnInteraction(object sender, EventArgs e)' doesn't match the target delegate 'KeyEventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinFormsInteractionObserver.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void WinFormsInteractionObserver.OnInteraction(object sender, EventArgs e)' doesn't match the target delegate 'MouseEventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Adapters/WinformsTimerAdapter.cs|CS8618|Non-nullable event 'Tick' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/DialogViewBase.cs|CS8618|Non-nullable field '_completionCallback' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/DialogViewBase.cs|CS8618|Non-nullable field '_trackedParent' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/DialogViewBase.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void DialogViewBase.OnParentChanged(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Hosting/DialogViewBase.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void DialogViewBase.OnParentResize(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Hosting/DialogViewBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/PopoverViewBase.cs|CS8618|Non-nullable field '_completionCallback' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/PopoverViewBase.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void PopoverViewBase.OnParentChanged(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Hosting/PopoverViewBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/PromptViewBase.cs|CS8618|Non-nullable field '_completionCallback' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/PromptViewBase.cs|CS8618|Non-nullable field '_trackedParent' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/PromptViewBase.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void PromptViewBase<TResult>.OnParentChanged(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Hosting/PromptViewBase.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void PromptViewBase<TResult>.OnParentResize(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Hosting/PromptViewBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/ToastViewBase.cs|CS8618|Non-nullable field '_dismissCallback' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.
src/Navigation/NekoLib.Navigation.WinForms/Hosting/ToastViewBase.cs|CS8622|Nullability of reference types in type of parameter 'sender' of 'void ToastViewBase.OnViewClicked(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).
src/Navigation/NekoLib.Navigation.WinForms/Hosting/ToastViewBase.cs|CS8625|Cannot convert null literal to non-nullable reference type.
src/Navigation/NekoLib.Navigation.Wpf/Adapters/InteractionObserver.cs|CS8618|Non-nullable event 'InteractionDetected' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.
src/Navigation/NekoLib.Navigation.Wpf/Adapters/WpfFocusObserverAdapter.cs|CS8600|Converting null literal or possible null value to non-nullable type.
src/Navigation/NekoLib.Navigation.Wpf/Adapters/WpfFocusObserverAdapter.cs|CS8604|Possible null reference argument for parameter 'deactivated' in 'Subscription.Subscription(UIElement element, KeyboardFocusChangedEventHandler lost, Window window, EventHandler deactivated)'.
src/Navigation/NekoLib.Navigation.Wpf/Adapters/WpfFocusObserverAdapter.cs|CS8604|Possible null reference argument for parameter 'window' in 'Subscription.Subscription(UIElement element, KeyboardFocusChangedEventHandler lost, Window window, EventHandler deactivated)'.
src/Navigation/NekoLib.Navigation.Wpf/Adapters/WpfFocusObserverAdapter.cs|CS8625|Cannot convert null literal to non-nullable reference type.
